Time,HR (bpm),Speed (km/h),Pace (min/km),Distances (m)
0 days 00:05:22,84,0.1,00:00,79.97
0 days 00:05:23,84,0.1,00:00,79.97
0 days 00:05:24,85,0.0,00:00,79.97
0 days 00:05:25,84,0.0,00:00,79.97
0 days 00:05:26,83,0.0,00:00,80.11
0 days 00:05:27,82,0.2,360:35,80.23
0 days 00:05:28,82,0.3,228:45,80.27
0 days 00:05:29,82,0.3,217:42,80.35
0 days 00:05:30,82,0.3,172:46,80.44
0 days 00:05:31,82,0.4,158:51,80.47
0 days 00:05:32,82,0.3,238:17,80.55
0 days 00:05:33,82,0.2,357:21,80.55
0 days 00:05:34,81,0.1,536:12,80.73
0 days 00:05:35,81,0.1,00:00,80.73
0 days 00:05:36,81,0.0,00:00,80.73
0 days 00:05:37,82,0.0,00:00,80.73
0 days 00:05:38,82,0.0,00:00,80.73
0 days 00:05:39,82,0.0,00:00,80.73
0 days 00:05:40,82,0.0,00:00,80.73
0 days 00:05:41,81,0.0,00:00,80.73
0 days 00:05:42,81,0.0,00:00,80.73
0 days 00:05:43,81,0.0,00:00,81.21
0 days 00:05:44,81,0.0,00:00,81.21
0 days 00:05:45,81,0.0,00:00,81.21
0 days 00:05:46,81,0.0,00:00,81.21
0 days 00:05:47,81,0.0,00:00,81.21
0 days 00:05:48,81,0.1,518:35,81.82
0 days 00:05:49,82,0.1,412:22,81.95
0 days 00:05:50,82,0.1,403:14,82.12
0 days 00:05:51,81,0.1,00:00,82.3
0 days 00:05:52,81,0.1,00:00,82.3
0 days 00:05:53,81,0.0,00:00,82.3
0 days 00:05:54,82,0.0,00:00,82.3
0 days 00:05:55,83,0.0,00:00,82.3
0 days 00:05:56,83,0.0,00:00,82.3
0 days 00:05:57,85,0.0,00:00,82.3
0 days 00:05:58,86,0.0,00:00,82.3
0 days 00:05:59,86,0.0,00:00,82.3
0 days 00:06:00,88,0.0,00:00,82.3
0 days 00:06:01,89,0.0,00:00,82.3
0 days 00:06:02,89,0.0,00:00,82.3
0 days 00:06:03,89,0.0,00:00,82.3
0 days 00:06:04,89,0.0,00:00,82.3
0 days 00:06:05,89,0.1,00:00,83.06
0 days 00:06:06,89,0.2,256:05,83.62
0 days 00:06:07,89,0.2,256:18,83.75
0 days 00:06:08,89,0.2,384:37,83.79
0 days 00:06:09,90,0.1,576:55,83.79
0 days 00:06:10,90,0.1,00:00,83.79
0 days 00:06:11,90,0.0,00:00,83.79
0 days 00:06:12,91,0.0,00:00,83.79
0 days 00:06:13,90,0.0,00:00,84.08
0 days 00:06:14,90,0.0,00:00,84.08
0 days 00:06:15,89,0.0,00:00,84.08
0 days 00:06:16,89,0.0,00:00,84.08
0 days 00:06:17,89,0.0,00:00,84.08
0 days 00:06:18,89,0.1,00:00,84.51
0 days 00:06:19,89,0.1,00:00,84.64
0 days 00:06:20,88,0.2,299:06,85.08
0 days 00:06:21,88,0.3,205:03,85.23
0 days 00:06:22,88,0.2,307:32,85.43
0 days 00:06:23,88,0.1,461:32,85.43
0 days 00:06:24,89,0.1,00:00,85.43
0 days 00:06:25,89,0.1,00:00,85.43
0 days 00:06:26,89,0.0,00:00,85.72
0 days 00:06:27,89,0.1,585:56,85.85
0 days 00:06:28,89,0.1,00:00,85.88
0 days 00:06:29,88,0.0,00:00,85.88
0 days 00:06:30,87,0.0,00:00,85.88
0 days 00:06:31,86,0.0,00:00,85.88
0 days 00:06:32,85,0.0,00:00,85.88
0 days 00:06:33,86,0.0,00:00,85.88
0 days 00:06:34,86,0.0,00:00,85.88
0 days 00:06:35,86,0.0,00:00,85.88
0 days 00:06:36,86,0.0,00:00,85.88
0 days 00:06:37,86,0.2,251:34,86.58
0 days 00:06:38,84,0.2,377:22,86.92
0 days 00:06:39,83,0.1,566:02,87.12
0 days 00:06:40,83,0.1,00:00,87.12
0 days 00:06:41,83,0.0,00:00,87.12
0 days 00:06:42,83,0.0,00:00,87.12
0 days 00:06:43,83,0.0,00:00,87.12
0 days 00:06:44,83,0.0,00:00,87.12
0 days 00:06:45,82,0.0,00:00,87.12
0 days 00:06:46,81,0.0,00:00,87.12
0 days 00:06:47,81,0.0,00:00,87.12
0 days 00:06:48,80,0.0,00:00,87.12
0 days 00:06:49,81,0.0,00:00,87.12
0 days 00:06:50,82,0.0,00:00,87.12
0 days 00:06:51,82,0.0,00:00,87.12
0 days 00:06:52,83,0.0,00:00,87.12
0 days 00:06:53,83,0.0,00:00,87.12
0 days 00:06:54,82,0.0,00:00,87.12
0 days 00:06:55,82,0.0,00:00,87.12
0 days 00:06:56,82,0.0,00:00,87.12
0 days 00:06:57,83,0.0,00:00,87.12
0 days 00:06:58,83,0.0,00:00,87.12
0 days 00:06:59,83,0.0,00:00,87.12
0 days 00:07:00,84,0.0,00:00,87.12
0 days 00:07:01,84,0.1,484:39,87.88
0 days 00:07:02,84,0.1,00:00,88.64
0 days 00:07:03,84,0.1,00:00,89.4
0 days 00:07:04,84,0.0,00:00,89.94
0 days 00:07:05,84,0.0,00:00,89.94
0 days 00:07:06,84,0.0,00:00,89.94
0 days 00:07:07,84,0.0,00:00,89.94
0 days 00:07:08,84,0.0,00:00,89.94
0 days 00:07:09,84,0.0,00:00,89.94
0 days 00:07:10,83,0.0,00:00,89.94
0 days 00:07:11,83,0.0,00:00,89.94
0 days 00:07:12,82,0.0,00:00,89.94
0 days 00:07:13,81,0.0,00:00,89.94
0 days 00:07:14,81,0.0,00:00,89.94
0 days 00:07:15,81,0.0,00:00,89.94
0 days 00:07:16,81,0.0,00:00,89.94
0 days 00:07:17,80,0.0,00:00,89.94
0 days 00:07:18,79,0.0,00:00,89.94
0 days 00:07:19,78,0.0,00:00,89.94
0 days 00:07:20,78,0.0,00:00,89.94
0 days 00:07:21,77,0.1,541:02,90.45
0 days 00:07:22,77,0.1,00:00,90.54
0 days 00:07:23,77,0.0,00:00,90.54
0 days 00:07:24,77,0.0,00:00,90.54
0 days 00:07:25,78,0.0,00:00,90.54
0 days 00:07:26,79,0.0,00:00,90.54
0 days 00:07:27,79,0.0,00:00,90.54
0 days 00:07:28,79,0.0,00:00,90.54
0 days 00:07:29,78,0.0,00:00,90.54
0 days 00:07:30,77,0.0,00:00,90.54
0 days 00:07:31,77,0.0,00:00,90.54
0 days 00:07:32,75,0.0,00:00,90.54
0 days 00:07:33,75,0.0,00:00,90.54
0 days 00:07:34,75,0.2,358:00,91.3
0 days 00:07:35,75,0.2,246:00,91.51
0 days 00:07:36,76,0.3,178:50,91.56
0 days 00:07:37,74,0.2,268:13,91.68
0 days 00:07:38,74,0.3,186:38,91.72
0 days 00:07:39,73,0.4,147:12,91.79
0 days 00:07:40,74,0.3,220:50,91.92
0 days 00:07:41,74,0.4,160:36,91.97
0 days 00:07:42,74,0.2,240:52,92.17
0 days 00:07:43,75,0.2,361:14,92.31
0 days 00:07:44,76,0.1,542:00,92.31
0 days 00:07:45,76,0.1,00:00,92.31
0 days 00:07:46,76,0.0,00:00,92.31
0 days 00:07:47,76,0.0,00:00,92.31
0 days 00:07:48,77,0.0,00:00,92.31
0 days 00:07:49,79,0.2,352:44,92.41
0 days 00:07:50,79,0.1,529:06,92.46
0 days 00:07:51,79,0.3,186:48,92.51
0 days 00:07:52,79,0.2,280:15,92.62
0 days 00:07:53,80,0.3,227:58,92.72
0 days 00:07:54,80,0.3,173:01,92.72
0 days 00:07:55,79,0.4,149:04,92.74
0 days 00:07:56,79,0.4,138:36,92.77
0 days 00:07:57,79,0.4,137:56,92.84
0 days 00:07:58,79,0.3,206:54,92.88
0 days 00:07:59,79,0.2,310:24,92.95
0 days 00:08:00,80,0.1,465:29,92.95
0 days 00:08:01,80,0.1,00:00,93.08
0 days 00:08:02,80,0.2,263:37,93.24
0 days 00:08:03,80,0.2,395:31,93.31
0 days 00:08:04,79,0.2,254:21,93.45
0 days 00:08:05,80,0.4,170:13,93.59
0 days 00:08:06,80,0.4,152:15,93.62
0 days 00:08:07,81,0.4,166:40,93.66
0 days 00:08:08,81,0.2,250:00,93.69
0 days 00:08:09,82,0.2,375:00,93.69
0 days 00:08:10,82,0.1,562:19,93.69
0 days 00:08:11,82,0.2,349:39,93.8
0 days 00:08:12,82,0.3,225:03,93.84
0 days 00:08:13,82,0.3,176:13,93.9
0 days 00:08:14,83,0.3,181:03,94.02
0 days 00:08:15,83,0.3,184:51,94.09
0 days 00:08:16,84,0.2,277:16,94.22
0 days 00:08:17,85,0.1,415:48,94.22
0 days 00:08:18,85,0.3,193:37,94.32
0 days 00:08:19,86,0.5,132:36,94.64
0 days 00:08:20,86,0.3,198:52,94.71
0 days 00:08:21,85,0.2,298:22,94.71
0 days 00:08:22,85,0.1,447:26,94.71
0 days 00:08:23,85,0.1,00:00,94.71
0 days 00:08:24,85,0.1,00:00,94.71
0 days 00:08:25,86,0.0,00:00,94.71
0 days 00:08:26,86,0.0,00:00,94.71
0 days 00:08:27,86,0.0,00:00,94.71
0 days 00:08:28,85,0.1,00:00,95.47
0 days 00:08:29,84,0.1,597:01,95.78
0 days 00:08:30,83,0.2,244:12,95.97
0 days 00:08:31,83,0.5,121:38,96.13
0 days 00:08:32,84,0.3,182:26,96.17
0 days 00:08:33,84,0.2,273:43,96.17
0 days 00:08:34,84,0.1,410:24,96.17
0 days 00:08:35,84,0.2,346:49,96.28
0 days 00:08:36,84,0.3,203:03,96.39
0 days 00:08:37,84,0.3,202:34,96.43
0 days 00:08:38,84,0.4,168:30,96.51
0 days 00:08:39,84,0.4,161:44,96.66
0 days 00:08:40,84,0.2,242:37,96.72
0 days 00:08:41,84,0.2,363:51,96.72
0 days 00:08:42,84,0.1,545:57,96.72
0 days 00:08:43,84,0.1,00:00,96.72
0 days 00:08:44,84,0.0,00:00,96.72
0 days 00:08:45,84,0.0,00:00,96.72
0 days 00:08:46,83,0.0,00:00,96.72
0 days 00:08:47,83,0.0,00:00,96.77
0 days 00:08:48,83,0.1,00:00,96.94
0 days 00:08:49,82,0.0,00:00,96.98
0 days 00:08:50,82,0.0,00:00,96.98
0 days 00:08:51,82,0.0,00:00,96.98
0 days 00:08:52,81,0.0,00:00,96.98
0 days 00:08:53,81,0.0,00:00,96.98
0 days 00:08:54,81,0.0,00:00,96.98
0 days 00:08:55,81,0.0,00:00,96.98
0 days 00:08:56,81,0.1,00:00,97.32
0 days 00:08:57,81,0.1,00:00,97.35
0 days 00:08:58,81,0.2,275:06,97.47
0 days 00:08:59,81,0.1,412:39,97.53
0 days 00:09:00,82,0.1,00:00,97.53
0 days 00:09:01,82,0.1,00:00,97.53
0 days 00:09:02,73,0.0,00:00,97.53
0 days 00:09:03,73,0.0,00:00,97.53
0 days 00:09:04,73,0.0,00:00,97.53
0 days 00:09:05,73,0.0,00:00,97.53
0 days 00:09:06,74,0.0,00:00,97.53
0 days 00:09:07,74,0.0,00:00,97.53
0 days 00:09:08,73,0.1,00:00,98.11
0 days 00:09:09,73,0.1,414:05,98.14
0 days 00:09:10,72,0.1,00:00,98.17
0 days 00:09:11,72,0.1,00:00,98.17
0 days 00:09:12,72,0.0,00:00,98.33
0 days 00:09:13,74,0.0,00:00,98.33
0 days 00:09:14,75,0.0,00:00,98.33
0 days 00:09:15,76,0.1,00:00,98.42
0 days 00:09:16,76,0.2,348:14,98.57
0 days 00:09:17,77,0.1,522:39,98.58
0 days 00:09:18,76,0.1,00:00,98.64
0 days 00:09:19,75,0.1,439:34,98.74
0 days 00:09:20,75,0.1,00:00,98.77
0 days 00:09:21,75,0.1,00:00,98.79
0 days 00:09:22,75,0.1,537:38,98.86
0 days 00:09:23,75,0.1,00:00,98.88
0 days 00:09:24,76,0.0,00:00,98.88
0 days 00:09:25,76,0.0,00:00,99.09
0 days 00:09:26,76,0.1,439:53,99.24
0 days 00:09:27,74,0.1,00:00,99.41
0 days 00:09:28,74,0.1,427:21,99.49
0 days 00:09:29,73,0.1,00:00,99.68
0 days 00:09:30,74,0.1,453:10,99.87
0 days 00:09:31,74,0.1,00:00,99.94
0 days 00:09:32,74,0.1,00:00,99.99
0 days 00:09:33,74,0.0,00:00,99.99
0 days 00:09:34,74,0.1,590:33,100.17
0 days 00:09:35,74,0.1,00:00,100.2
0 days 00:09:36,74,0.0,00:00,100.2
0 days 00:09:37,73,0.0,00:00,100.2
